problem_id,problem_type,same_candidate,full_candidate_id,typeaware_consensus_candidate_id,full_objective_correct_posthoc,typeaware_consensus_objective_correct_posthoc,full_safe_consensus_score,typeaware_consensus_safe_consensus_score,full_wrong_consensus_risk,typeaware_consensus_wrong_consensus_risk,full_constraint_coverage,typeaware_consensus_constraint_coverage,full_objective_term_coverage,typeaware_consensus_objective_term_coverage,diagnostic_note
single_item_multi_period_0018,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k4,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_0019,single_item_multi_period,False,Qwen3-8B_k0,Qwen3-8B_k4,1.0,1.0,0.9857142857142858,0.9857142857142858,0.014285714285714235,0.014285714285714235,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0000,single_item_multi_period_shortage,False,Qwen3-8B_k1,Qwen3-8B_k4,1.0,1.0,0.8628472222222223,0.8628472222222223,0.012152777777777679,0.012152777777777679,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0002,single_item_multi_period_shortage,False,Qwen3-8B_k0,Qwen3-8B_k1,1.0,1.0,0.9861111111111112,0.9861111111111112,0.01388888888888884,0.01388888888888884,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0003,single_item_multi_period_shortage,False,Qwen3-8B_k1,Qwen3-8B_k7,1.0,1.0,0.8452380952380952,0.8452380952380952,0.011904761904761862,0.011904761904761862,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0004,single_item_multi_period_shortage,False,Qwen3-8B_k1,Qwen3-8B_k5,0.0,0.0,0.7395833333333334,0.7395833333333334,0.01041666666666663,0.01041666666666663,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0007,single_item_multi_period_shortage,False,Qwen3-8B_k1,Qwen3-8B_k7,1.0,1.0,0.7395833333333334,0.7395833333333334,0.01041666666666663,0.01041666666666663,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0008,single_item_multi_period_shortage,False,Qwen3-8B_k0,Qwen3-8B_k3,1.0,1.0,0.8628472222222223,0.8628472222222223,0.012152777777777679,0.012152777777777679,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0010,single_item_multi_period_shortage,False,Qwen3-8B_k0,Qwen3-8B_k1,1.0,1.0,0.9861111111111112,0.9861111111111112,0.01388888888888884,0.01388888888888884,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0011,single_item_multi_period_shortage,False,Qwen3-8B_k1,Qwen3-8B_k3,1.0,1.0,0.8452380952380952,0.8452380952380952,0.011904761904761862,0.011904761904761862,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0012,single_item_multi_period_shortage,False,Qwen3-8B_k0,Qwen3-8B_k7,1.0,1.0,0.7383333333333333,0.7383333333333333,0.011666666666666714,0.011666666666666714,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0013,single_item_multi_period_shortage,False,Qwen3-8B_k3,Qwen3-8B_k6,1.0,1.0,0.8628472222222223,0.8628472222222223,0.012152777777777679,0.012152777777777679,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0015,single_item_multi_period_shortage,False,Qwen3-8B_k0,Qwen3-8B_k5,1.0,1.0,0.9861111111111112,0.9861111111111112,0.01388888888888884,0.01388888888888884,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0016,single_item_multi_period_shortage,False,Qwen3-8B_k1,Qwen3-8B_k3,1.0,1.0,0.8628472222222223,0.8628472222222223,0.012152777777777679,0.012152777777777679,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0018,single_item_multi_period_shortage,False,Qwen3-8B_k1,Qwen3-8B_k4,1.0,1.0,0.8628472222222223,0.8628472222222223,0.012152777777777679,0.012152777777777679,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_item_multi_period_shortage_0019,single_item_multi_period_shortage,False,Qwen3-8B_k1,Qwen3-8B_k3,1.0,1.0,0.4930555555555556,0.4930555555555556,0.00694444444444442,0.00694444444444442,1.0,1.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_period_newsvendor_0000,single_period_newsvendor,False,Qwen3-8B_k0,Qwen3-8B_k7,1.0,1.0,0.8594444444444447,0.8594444444444447,0.14055555555555532,0.14055555555555532,1.0,1.0,0.6666666666666666,0.6666666666666666,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_period_newsvendor_0001,single_period_newsvendor,False,Qwen3-8B_k0,Qwen3-8B_k7,1.0,1.0,0.8594444444444447,0.8594444444444447,0.14055555555555532,0.14055555555555532,1.0,1.0,0.6666666666666666,0.6666666666666666,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_period_newsvendor_0006,single_period_newsvendor,False,Qwen3-8B_k0,Qwen3-8B_k6,1.0,1.0,0.8594444444444447,0.8594444444444447,0.14055555555555532,0.14055555555555532,1.0,1.0,0.6666666666666666,0.6666666666666666,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_period_newsvendor_0007,single_period_newsvendor,False,Qwen3-8B_k0,Qwen3-8B_k5,1.0,1.0,0.8594444444444447,0.8594444444444447,0.14055555555555532,0.14055555555555532,1.0,1.0,0.6666666666666666,0.6666666666666666,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_period_newsvendor_0009,single_period_newsvendor,False,Qwen3-8B_k0,Qwen3-8B_k2,1.0,1.0,0.8594444444444447,0.8594444444444447,0.14055555555555532,0.14055555555555532,1.0,1.0,0.6666666666666666,0.6666666666666666,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_period_newsvendor_0011,single_period_newsvendor,False,Qwen3-8B_k0,Qwen3-8B_k6,1.0,1.0,0.8594444444444447,0.8594444444444447,0.14055555555555532,0.14055555555555532,1.0,1.0,0.6666666666666666,0.6666666666666666,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_period_newsvendor_0013,single_period_newsvendor,False,Qwen3-8B_k0,Qwen3-8B_k4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_period_newsvendor_0014,single_period_newsvendor,False,Qwen3-8B_k0,Qwen3-8B_k3,1.0,1.0,0.8594444444444447,0.8594444444444447,0.14055555555555532,0.14055555555555532,1.0,1.0,0.6666666666666666,0.6666666666666666,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_period_newsvendor_0015,single_period_newsvendor,False,Qwen3-8B_k0,Qwen3-8B_k3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
single_period_newsvendor_0018,single_period_newsvendor,False,Qwen3-8B_k3,Qwen3-8B_k5,1.0,1.0,0.5895833333333333,0.5895833333333333,0.16041666666666665,0.16041666666666665,1.0,1.0,0.3333333333333333,0.3333333333333333,post-hoc diagnostics only; differences explain selected candidates and are not formal selection inputs
